,t(ms),V(mV) Spine Head - M,V(mV) Spine Head - lb,V(mV) Spine Head - ub,V(mV) Dendritic shaft - M,V(mV) Dendritic shaft - lb,V(mV) Dendritic shaft - ub,V(mV) Soma - M,V(mV) Soma - lb,V(mV) Soma - ub
0,-120.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0
1,-119.95,-69.99990289756637,-69.99994944130776,-69.9998294579109,-69.99999666003286,-69.99999824336201,-69.99999359088491,-69.99999999931867,-69.99999999995222,-69.99999998423772
2,-119.9,-69.99988076698784,-69.99994105968936,-69.99978348083123,-69.99999249407804,-69.99999586568387,-69.99998500739302,-69.9999999960936,-69.99999999969911,-69.99999993080037
3,-119.85,-69.99987134386811,-69.99993606024128,-69.99976566907584,-69.99998808445159,-69.9999935058295,-69.99997702944496,-69.99999998759644,-69.99999999887245,-69.99999983701099
4,-119.8,-69.99986364580556,-69.99993199626364,-69.99975721723537,-69.99998396040527,-69.99999126676457,-69.99996917236015,-69.99999997080147,-69.9999999969129,-69.99999968485515
5,-119.75,-69.99985833002927,-69.99992914725226,-69.99974535372444,-69.99997998181806,-69.99998924282993,-69.99996194611455,-69.99999994174047,-69.99999999316144,-69.9999994700198
6,-119.7,-69.99985164200511,-69.99992580252498,-69.99974045006728,-69.99997639104177,-69.9999876498794,-69.99995570254833,-69.9999998996297,-69.99999998708253,-69.99999917787152
7,-119.65,-69.99984704177737,-69.99992314819687,-69.99973426367235,-69.99997316671747,-69.99998597497246,-69.9999493304888,-69.99999984303238,-69.99999997767334,-69.99999888564652
8,-119.6,-69.99984339510065,-69.99992175274306,-69.9997278321486,-69.9999703969029,-69.99998436344032,-69.99994387978347,-69.9999997653617,-69.99999996362217,-69.99999852776155
9,-119.55,-69.99983908768513,-69.99991978220467,-69.99972087168038,-69.9999675455226,-69.99998294348315,-69.9999386711401,-69.99999966843104,-69.99999994435304,-69.9999981901511
10,-119.5,-69.9998350135819,-69.99991792878815,-69.9997167245197,-69.99996505729175,-69.9999817435784,-69.99993348740692,-69.99999956096077,-69.9999999216006,-69.99999779101303
11,-119.45,-69.9998304073731,-69.99991637412703,-69.99971172048436,-69.99996274840441,-69.99998065955073,-69.99992794755188,-69.99999943469163,-69.99999989335507,-69.9999973386134
12,-119.4,-69.99982685256757,-69.99991515495955,-69.9997073462024,-69.99996059751643,-69.99997952585646,-69.99992319832185,-69.99999930202847,-69.99999985724963,-69.99999691545811
13,-119.35,-69.999824136273,-69.99991402402671,-69.99970329651747,-69.99995854834302,-69.99997829579023,-69.99991934838783,-69.99999915723915,-69.99999981546108,-69.99999638918246
14,-119.3,-69.99982230957862,-69.99991296894686,-69.99970082580411,-69.99995669996828,-69.99997713076489,-69.99991518431928,-69.99999898961134,-69.99999977079797,-69.99999588991942
15,-119.25,-69.99981913427052,-69.9999112505416,-69.9996987740752,-69.99995488653836,-69.99997602108218,-69.99991097491097,-69.99999881090986,-69.99999971608005,-69.99999543264518
16,-119.2,-69.99981791393367,-69.99991033095071,-69.99969658142791,-69.99995305032908,-69.99997496239183,-69.99990700584296,-69.99999863383914,-69.99999965538103,-69.999994877444
17,-119.15,-69.99981604832512,-69.99990938024827,-69.99969419938006,-69.99995128593204,-69.99997412157651,-69.99990330143308,-69.99999841852103,-69.99999959019404,-69.99999431810348
18,-119.1,-69.9998134048804,-69.99990795441359,-69.99969219933695,-69.9999495881858,-69.99997331442442,-69.99989978363422,-69.99999823070348,-69.99999952187409,-69.99999379149976
19,-119.05,-69.9998114034019,-69.9999071948133,-69.99968954081807,-69.99994795250156,-69.99997237016596,-69.99989651224345,-69.99999799602395,-69.99999944628968,-69.99999327062795
20,-119.0,-69.9998101054702,-69.99990647396439,-69.99968646406127,-69.9999464137459,-69.99997145667581,-69.99989337553897,-69.99999775599795,-69.99999935108343,-69.99999272830472
21,-118.95,-69.99980836321787,-69.99990520632645,-69.99968348212771,-69.99994505407824,-69.99997057193238,-69.99989036383096,-69.99999752036774,-69.99999926264806,-69.99999213531497
22,-118.9,-69.9998069069644,-69.99990366593869,-69.9996805884158,-69.99994357228827,-69.9999698931842,-69.99988746831409,-69.99999732201904,-69.99999917976314,-69.99999152221963
23,-118.85,-69.99980556259118,-69.99990243294933,-69.99967629899261,-69.99994227778686,-69.99996905962843,-69.99988468097206,-69.99999712166961,-69.99999907866385,-69.99999087287287
24,-118.8,-69.99980390191345,-69.99990122525635,-69.99967363639011,-69.99994111502097,-69.99996827064612,-69.99988199449434,-69.99999686519826,-69.99999898256529,-69.9999903024153
25,-118.75,-69.99980237902545,-69.99990045039075,-69.99967136459176,-69.99993994229872,-69.99996745804947,-69.9998794022031,-69.99999658527092,-69.99999887509982,-69.99998968817246
26,-118.7,-69.99980076942215,-69.9998994718523,-69.99966830509554,-69.99993872306425,-69.99996670130587,-69.99987689798876,-69.99999634669322,-69.99999875749353,-69.99998905371959
27,-118.65,-69.9997983942852,-69.99989855868733,-69.99966551112057,-69.99993740560065,-69.99996597616227,-69.99987447625304,-69.99999606340408,-69.99999864703565,-69.99998841867188
